id	yearsAgo	commonsPage	directUrl	licenseShortName	width	height	contested
yuan-bronze-hand-gun	649	https://commons.wikimedia.org/wiki/File:Yuan_Bronze_Gun_(9870945906).jpg	https://upload.wikimedia.org/wikipedia/commons/8/84/Yuan_Bronze_Gun_%289870945906%29.jpg	CC0	640	480	false
machu-picchu	580	https://commons.wikimedia.org/wiki/File:Machupicchu_hb10.jpg	https://upload.wikimedia.org/wikipedia/commons/8/86/Machupicchu_hb10.jpg	Public domain	3072	1910	false
gutenberg-bible	545	https://commons.wikimedia.org/wiki/File:Gutenberg_Bible_WDL4102.jpg	https://upload.wikimedia.org/wikipedia/commons/b/b0/Gutenberg_Bible_WDL4102.jpg	Public domain	1024	1369	false
mona-lisa	495	https://commons.wikimedia.org/wiki/File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg	https://upload.wikimedia.org/wikipedia/commons/e/ec/Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg	Public domain	7479	11146	false
taj-mahal	352	https://commons.wikimedia.org/wiki/File:The_Taj,_from_the_Garden,_Agra.jpg	https://upload.wikimedia.org/wikipedia/commons/5/5e/The_Taj%2C_from_the_Garden%2C_Agra.jpg	CC0	4216	3645	false
girl-with-a-pearl-earring	335	https://commons.wikimedia.org/wiki/File:Meisje_met_de_parel.jpg	https://upload.wikimedia.org/wikipedia/commons/d/d7/Meisje_met_de_parel.jpg	Public domain	4095	4794	false
newtons-principia	313	https://commons.wikimedia.org/wiki/File:NewtonsPrincipia.jpg	https://upload.wikimedia.org/wikipedia/commons/4/41/NewtonsPrincipia.jpg	CC0	1266	842	false
jenner-cowpock-print	198	https://commons.wikimedia.org/wiki/File:The_cow-pock_-_or_-_the_wonderful_effects_of_the_new_inoculation_-_Js._Gillray,_del._%26_ft._LCCN94509853.jpg	https://upload.wikimedia.org/wikipedia/commons/f/fd/The_cow-pock_-_or_-_the_wonderful_effects_of_the_new_inoculation_-_Js._Gillray%2C_del._%26_ft._LCCN94509853.jpg	Public domain	1024	821	false
first-photograph	173	https://commons.wikimedia.org/wiki/File:View_from_the_Window_at_Le_Gras,_Joseph_Nic%C3%A9phore_Ni%C3%A9pce.jpg	https://upload.wikimedia.org/wikipedia/commons/5/5c/View_from_the_Window_at_Le_Gras%2C_Joseph_Nic%C3%A9phore_Ni%C3%A9pce.jpg	Public domain	2597	1805	false
stephensons-rocket	171	https://commons.wikimedia.org/wiki/File:PSM_V12_D283_The_rocket_1829.jpg	https://upload.wikimedia.org/wikipedia/commons/f/f4/PSM_V12_D283_The_rocket_1829.jpg	Public domain	1068	1015	false
